iso,gid,iso3,subarea,hdi,population,fraction_urban_pop,fraction_pop_under5,bucketLatrine_urb,compostingToilet_urb,flushOpen_urb,flushPit_urb,flushSeptic_urb,flushSewer_urb,flushUnknown_urb,hangingToilet_urb,openDefecation_urb,other_urb,pitNoSlab_urb,pitSlab_urb,containerBased_urb,onsiteDumpedland_urb,emptyFrequency_urb,pitAdditive_urb,urine_urb,twinPits_urb,coverBury_urb,fecalSludgeTreated_urb,sewageTreated_urb,isWatertight_urb,hasLeach_urb,bucketLatrine_rur,compostingToilet_rur,flushOpen_rur,flushPit_rur,flushSeptic_rur,flushSewer_rur,flushUnknown_rur,hangingToilet_rur,openDefecation_rur,other_rur,pitNoSlab_rur,pitSlab_rur,containerBased_rur,onsiteDumpedland_rur,emptyFrequency_rur,pitAdditive_rur,urine_rur,twinPits_rur,coverBury_rur,fecalSludgeTreated_rur,sewageTreated_rur,isWatertight_rur,hasLeach_rur
BGD.3.1.33_1,BGD.3.1.33_1,BGD,Ramna,0.67,265572,1.0,0.0938956229563377,0.0,0.0,0.043,0.131,0.366,0.293,0.0,0.001,0.0,0.004,0.011,0.15,,0.1,3,0,0,0,0.204,0.0,0.084,0.0,0.0,0.0,0.0,0.017,0.204,0.229,0.008,0.0,0.007,0.001,0.013,0.044,0.477,,0.1,3,0,0,0,0.322,0.0,0.003,0.0,0.0
BGD.3.1.34_1,BGD.3.1.34_1,BGD,Rampura,0.67,360832,1.0,0.0938956229563377,0.0,0.0,0.043,0.131,0.366,0.293,0.0,0.001,0.0,0.004,0.011,0.15,,0.1,3,0,0,0,0.204,0.0,0.084,0.0,0.0,0.0,0.0,0.017,0.204,0.229,0.008,0.0,0.007,0.001,0.013,0.044,0.477,,0.1,3,0,0,0,0.322,0.0,0.003,0.0,0.0
BGD.3.1.35_1,BGD.3.1.35_1,BGD,Sabujbagh,0.67,665229,1.0,0.0938956229563377,0.0,0.0,0.043,0.131,0.366,0.293,0.0,0.001,0.0,0.004,0.011,0.15,,0.1,3,0,0,0,0.204,0.0,0.084,0.0,0.0,0.0,0.0,0.017,0.204,0.229,0.008,0.0,0.007,0.001,0.013,0.044,0.477,,0.1,3,0,0,0,0.322,0.0,0.003,0.0,0.0
BGD.3.1.36_1,BGD.3.1.36_1,BGD,Savar,0.67,1804537,0.998845061912613,0.0938956229563377,0.0,0.0,0.043,0.131,0.366,0.293,0.0,0.001,0.0,0.004,0.011,0.15,,0.1,3,0,0,0,0.204,0.0,0.084,0.0,0.0,0.0,0.0,0.017,0.204,0.229,0.008,0.0,0.007,0.001,0.013,0.044,0.477,,0.1,3,0,0,0,0.322,0.0,0.003,0.0,0.0
BGD.3.1.37_1,BGD.3.1.37_1,BGD,Shah Ali,0.67,260906,1.0,0.0938956229563377,0.0,0.0,0.043,0.131,0.366,0.293,0.0,0.001,0.0,0.004,0.011,0.15,,0.1,3,0,0,0,0.204,0.0,0.084,0.0,0.0,0.0,0.0,0.017,0.204,0.229,0.008,0.0,0.007,0.001,0.013,0.044,0.477,,0.1,3,0,0,0,0.322,0.0,0.003,0.0,0.0
BGD.3.1.38_1,BGD.3.1.38_1,BGD,Shahbagh,0.67,210863,1.0,0.0938956229563377,0.0,0.0,0.043,0.131,0.366,0.293,0.0,0.001,0.0,0.004,0.011,0.15,,0.1,3,0,0,0,0.204,0.0,0.084,0.0,0.0,0.0,0.0,0.017,0.204,0.229,0.008,0.0,0.007,0.001,0.013,0.044,0.477,,0.1,3,0,0,0,0.322,0.0,0.003,0.0,0.0
BGD.3.1.39_1,BGD.3.1.39_1,BGD,Sher-e-bangla Nagar,0.67,341982,1.0,0.0938956229563377,0.0,0.0,0.043,0.131,0.366,0.293,0.0,0.001,0.0,0.004,0.011,0.15,,0.1,3,0,0,0,0.204,0.0,0.084,0.0,0.0,0.0,0.0,0.017,0.204,0.229,0.008,0.0,0.007,0.001,0.013,0.044,0.477,,0.1,3,0,0,0,0.322,0.0,0.003,0.0,0.0
BGD.3.1.40_1,BGD.3.1.40_1,BGD,Shyampur,0.67,143014,1.0,0.0938956229563377,0.0,0.0,0.043,0.131,0.366,0.293,0.0,0.001,0.0,0.004,0.011,0.15,,0.1,3,0,0,0,0.204,0.0,0.084,0.0,0.0,0.0,0.0,0.017,0.204,0.229,0.008,0.0,0.007,0.001,0.013,0.044,0.477,,0.1,3,0,0,0,0.322,0.0,0.003,0.0,0.0
BGD.3.1.41_1,BGD.3.1.41_1,BGD,Sutrapur,0.67,261207,1.0,0.0938956229563377,0.0,0.0,0.043,0.131,0.366,0.293,0.0,0.001,0.0,0.004,0.011,0.15,,0.1,3,0,0,0,0.204,0.0,0.084,0.0,0.0,0.0,0.0,0.017,0.204,0.229,0.008,0.0,0.007,0.001,0.013,0.044,0.477,,0.1,3,0,0,0,0.322,0.0,0.003,0.0,0.0
BGD.3.1.43_1,BGD.3.1.43_1,BGD,Tejgaon,0.67,282206,1.0,0.0938956229563377,0.0,0.0,0.043,0.131,0.366,0.293,0.0,0.001,0.0,0.004,0.011,0.15,,0.1,3,0,0,0,0.204,0.0,0.084,0.0,0.0,0.0,0.0,0.017,0.204,0.229,0.008,0.0,0.007,0.001,0.013,0.044,0.477,,0.1,3,0,0,0,0.322,0.0,0.003,0.0,0.0
BGD.3.1.42_1,BGD.3.1.42_1,BGD,Tejgaon Ind. Area,0.67,294611,1.0,0.0938956229563377,0.0,0.0,0.043,0.131,0.366,0.293,0.0,0.001,0.0,0.004,0.011,0.15,,0.1,3,0,0,0,0.204,0.0,0.084,0.0,0.0,0.0,0.0,0.017,0.204,0.229,0.008,0.0,0.007,0.001,0.013,0.044,0.477,,0.1,3,0,0,0,0.322,0.0,0.003,0.0,0.0
BGD.3.1.44_1,BGD.3.1.44_1,BGD,Turag,0.67,253596,0.997812245076481,0.0938956229563377,0.0,0.0,0.043,0.131,0.366,0.293,0.0,0.001,0.0,0.004,0.011,0.15,,0.1,3,0,0,0,0.204,0.0,0.084,0.0,0.0,0.0,0.0,0.017,0.204,0.229,0.008,0.0,0.007,0.001,0.013,0.044,0.477,,0.1,3,0,0,0,0.322,0.0,0.003,0.0,0.0
BGD.3.1.45_1,BGD.3.1.45_1,BGD,Uttar Khan,0.67,217998,1.0,0.0938956229563377,0.0,0.0,0.043,0.131,0.366,0.293,0.0,0.001,0.0,0.004,0.011,0.15,,0.1,3,0,0,0,0.204,0.0,0.084,0.0,0.0,0.0,0.0,0.017,0.204,0.229,0.008,0.0,0.007,0.001,0.013,0.044,0.477,,0.1,3,0,0,0,0.322,0.0,0.003,0.0,0.0
BGD.3.1.46_1,BGD.3.1.46_1,BGD,Uttara,0.67,325166,1.0,0.0938956229563377,0.0,0.0,0.043,0.131,0.366,0.293,0.0,0.001,0.0,0.004,0.011,0.15,,0.1,3,0,0,0,0.204,0.0,0.084,0.0,0.0,0.0,0.0,0.017,0.204,0.229,0.008,0.0,0.007,0.001,0.013,0.044,0.477,,0.1,3,0,0,0,0.322,0.0,0.003,0.0,0.0
